phase,signature,dataset,model_type,width_factor,depth,poison_ratio,poison_type,alpha,data_ordering,aggregator,batch_size,mean_test_acc,std_test_acc,mean_test_loss,std_test_loss,mean_val_acc,std_val_acc,mean_val_loss,std_val_loss,num_parameters,best_epoch,seed
exp1_vary_width,cifar10|cnn|64|64|0.0|label_flip|100.0|shuffle|fedavg|128|42,cifar10,cnn,64,64,0.0,label_flip,100.0,shuffle,fedavg,128,0.1,0.0,2.3071411060333253,0.0,0.1064,0.0,2.307625131607056,0.0,2337098,0,42
exp1_vary_width,mnist|cnn|1|16|0.0|label_flip|100.0|shuffle|fedavg|128|42,mnist,cnn,1,16,0.0,label_flip,100.0,shuffle,fedavg,128,0.1135,0.0,2.3010226013183592,0.0,0.111,0.0,2.302712273279826,0.0,212,2,42
exp1_vary_width,cifar10|cnn|64|64|0.0|random_noise|100.0|shuffle|fedavg|128|42,cifar10,cnn,64,64,0.0,random_noise,100.0,shuffle,fedavg,128,0.1,0.0,2.3071411060333253,0.0,0.1064,0.0,2.307625131607056,0.0,2337098,0,42
exp1_vary_width,mnist|cnn|1|16|0.0|random_noise|100.0|shuffle|fedavg|128|42,mnist,cnn,1,16,0.0,random_noise,100.0,shuffle,fedavg,128,0.1135,0.0,2.3010130867004395,0.0,0.111,0.0,2.302577101389567,0.0,212,2,42
exp1_vary_width,cifar10|cnn|64|64|0.25|label_flip|100.0|shuffle|fedavg|128|42,cifar10,cnn,64,64,0.25,label_flip,100.0,shuffle,fedavg,128,0.1,0.0,2.3071507583618165,0.0,0.1064,0.0,2.307634772491455,0.0,2337098,0,42
exp1_vary_width,mnist|cnn|1|16|0.25|label_flip|100.0|shuffle|fedavg|128|42,mnist,cnn,1,16,0.25,label_flip,100.0,shuffle,fedavg,128,0.1135,0.0,2.301382656097412,0.0,0.111,0.0,2.3015887743632,0.0,212,3,42
exp1_vary_width,cifar10|cnn|64|64|0.25|random_noise|100.0|shuffle|fedavg|128|42,cifar10,cnn,64,64,0.25,random_noise,100.0,shuffle,fedavg,128,0.1,0.0,2.3071379150390623,0.0,0.1064,0.0,2.307620097732544,0.0,2337098,0,42
exp1_vary_width,mnist|cnn|1|16|0.25|random_noise|100.0|shuffle|fedavg|128|42,mnist,cnn,1,16,0.25,random_noise,100.0,shuffle,fedavg,128,0.1135,0.0,2.301215554046631,0.0,0.111,0.0,2.302940718968709,0.0,212,2,42
exp1_vary_width,cifar10|cnn|64|64|0.5|label_flip|100.0|shuffle|fedavg|128|42,cifar10,cnn,64,64,0.5,label_flip,100.0,shuffle,fedavg,128,0.1,0.0,2.307147017288208,0.0,0.1064,0.0,2.307630696487427,0.0,2337098,0,42
exp1_vary_width,mnist|cnn|1|16|0.5|label_flip|100.0|shuffle|fedavg|128|42,mnist,cnn,1,16,0.5,label_flip,100.0,shuffle,fedavg,128,0.1135,0.0,2.3016975070953367,0.0,0.111,0.0,2.3017598711649576,0.0,212,4,42
exp1_vary_width,cifar10|cnn|64|64|0.5|random_noise|100.0|shuffle|fedavg|128|42,cifar10,cnn,64,64,0.5,random_noise,100.0,shuffle,fedavg,128,0.1,0.0,2.307141696166992,0.0,0.1064,0.0,2.3076247703552246,0.0,2337098,0,42
exp1_vary_width,mnist|cnn|1|16|0.5|random_noise|100.0|shuffle|fedavg|128|42,mnist,cnn,1,16,0.5,random_noise,100.0,shuffle,fedavg,128,0.1135,0.0,2.3015925106048583,0.0,0.111,0.0,2.3032199204762778,0.0,212,2,42
exp1_vary_width,cifar10|cnn|64|64|0.75|label_flip|100.0|shuffle|fedavg|128|42,cifar10,cnn,64,64,0.75,label_flip,100.0,shuffle,fedavg,128,0.1,0.0,2.3071462142944337,0.0,0.1064,0.0,2.307627682876587,0.0,2337098,0,42
exp1_vary_width,mnist|cnn|1|16|0.75|label_flip|100.0|shuffle|fedavg|128|42,mnist,cnn,1,16,0.75,label_flip,100.0,shuffle,fedavg,128,0.0974,0.0,2.302429052352905,0.0,0.0995,0.0,2.3440293623606365,0.0,212,0,42
exp1_vary_width,cifar10|cnn|64|64|0.75|random_noise|100.0|shuffle|fedavg|128|42,cifar10,cnn,64,64,0.75,random_noise,100.0,shuffle,fedavg,128,0.1,0.0,2.3071400955200194,0.0,0.1064,0.0,2.307623532104492,0.0,2337098,0,42
exp1_vary_width,mnist|cnn|1|16|0.75|random_noise|100.0|shuffle|fedavg|128|42,mnist,cnn,1,16,0.75,random_noise,100.0,shuffle,fedavg,128,0.1135,0.0,2.3020980587005617,0.0,0.111,0.0,2.3022118740081785,0.0,212,4,42
exp1_vary_width,cifar10|cnn|64|64|1.0|label_flip|100.0|shuffle|fedavg|128|42,cifar10,cnn,64,64,1.0,label_flip,100.0,shuffle,fedavg,128,0.1,0.0,2.307140040588379,0.0,0.1064,0.0,2.3076221645355224,0.0,2337098,0,42
exp1_vary_width,mnist|cnn|1|16|1.0|label_flip|100.0|shuffle|fedavg|128|42,mnist,cnn,1,16,1.0,label_flip,100.0,shuffle,fedavg,128,0.0974,0.0,2.304159928894043,0.0,0.0995,0.0,2.343854507446289,0.0,212,0,42
exp1_vary_width,cifar10|cnn|64|64|1.0|random_noise|100.0|shuffle|fedavg|128|42,cifar10,cnn,64,64,1.0,random_noise,100.0,shuffle,fedavg,128,0.1,0.0,2.307144197463989,0.0,0.1066,0.0,2.329380826568604,0.0,2337098,5,42
exp1_vary_width,mnist|cnn|1|16|1.0|random_noise|100.0|shuffle|fedavg|128|42,mnist,cnn,1,16,1.0,random_noise,100.0,shuffle,fedavg,128,0.1032,0.0,2.3028953536987307,0.0,0.0995,0.0,2.33919433148702,0.0,212,0,42
exp1_vary_width,mnist|cnn|64|64|0.0|label_flip|100.0|shuffle|fedavg|128|42,mnist,cnn,64,64,0.0,label_flip,100.0,shuffle,fedavg,128,0.1135,0.0,2.303609023284912,0.0,0.111,0.0,2.303368645985921,0.0,2335946,0,42
exp1_vary_width,mnist|cnn|64|64|0.0|random_noise|100.0|shuffle|fedavg|128|42,mnist,cnn,64,64,0.0,random_noise,100.0,shuffle,fedavg,128,0.1135,0.0,2.303609023284912,0.0,0.111,0.0,2.303368645985921,0.0,2335946,0,42
exp1_vary_width,cifar10|cnn|1|16|0.0|label_flip|100.0|shuffle|fedavg|128|42,cifar10,cnn,1,16,0.0,label_flip,100.0,shuffle,fedavg,128,0.1215,0.0,2.299485395050049,0.0,0.1152,0.0,2.299491191482544,0.0,230,7,42
exp1_vary_width,mnist|cnn|64|64|0.25|label_flip|100.0|shuffle|fedavg|128|42,mnist,cnn,64,64,0.25,label_flip,100.0,shuffle,fedavg,128,0.1135,0.0,2.3036091762542723,0.0,0.111,0.0,2.303368902842204,0.0,2335946,0,42
exp1_vary_width,mnist|cnn|64|64|0.25|random_noise|100.0|shuffle|fedavg|128|42,mnist,cnn,64,64,0.25,random_noise,100.0,shuffle,fedavg,128,0.1135,0.0,2.30360869102478,0.0,0.111,0.0,2.303368668238322,0.0,2335946,0,42
exp1_vary_width,cifar10|cnn|1|16|0.0|random_noise|100.0|shuffle|fedavg|128|42,cifar10,cnn,1,16,0.0,random_noise,100.0,shuffle,fedavg,128,0.1181,0.0,2.298558256149292,0.0,0.113,0.0,2.3004331634521487,0.0,230,17,42
exp1_vary_width,mnist|cnn|64|64|0.5|label_flip|100.0|shuffle|fedavg|128|42,mnist,cnn,64,64,0.5,label_flip,100.0,shuffle,fedavg,128,0.1135,0.0,2.303601706314087,0.0,0.111,0.0,2.303360530853272,0.0,2335946,0,42
exp1_vary_width,mnist|cnn|64|64|0.5|random_noise|100.0|shuffle|fedavg|128|42,mnist,cnn,64,64,0.5,random_noise,100.0,shuffle,fedavg,128,0.1135,0.0,2.3036074005126954,0.0,0.111,0.0,2.3033654219309487,0.0,2335946,0,42
exp1_vary_width,mnist|cnn|64|64|0.75|label_flip|100.0|shuffle|fedavg|128|42,mnist,cnn,64,64,0.75,label_flip,100.0,shuffle,fedavg,128,0.1135,0.0,2.303604238510132,0.0,0.111,0.0,2.303364700953165,0.0,2335946,0,42
exp1_vary_width,mnist|cnn|64|64|0.75|random_noise|100.0|shuffle|fedavg|128|42,mnist,cnn,64,64,0.75,random_noise,100.0,shuffle,fedavg,128,0.1135,0.0,2.303608027648926,0.0,0.111,0.0,2.30336740620931,0.0,2335946,0,42
exp1_vary_width,mnist|cnn|64|64|1.0|label_flip|100.0|shuffle|fedavg|128|42,mnist,cnn,64,64,1.0,label_flip,100.0,shuffle,fedavg,128,0.1135,0.0,2.3036007328033445,0.0,0.111,0.0,2.303362052281697,0.0,2335946,0,42
exp1_vary_width,mnist|cnn|64|64|1.0|random_noise|100.0|shuffle|fedavg|128|42,mnist,cnn,64,64,1.0,random_noise,100.0,shuffle,fedavg,128,0.1135,0.0,2.303610450363159,0.0,0.111,0.0,2.303369303385417,0.0,2335946,0,42
exp1_vary_width,cifar10|cnn|1|16|0.25|label_flip|100.0|shuffle|fedavg|128|42,cifar10,cnn,1,16,0.25,label_flip,100.0,shuffle,fedavg,128,0.1691,0.0,2.1627984760284424,0.0,0.1724,0.0,2.171439080429077,0.0,230,67,42
exp1_vary_width,cifar10|cnn|64|1|0.0|label_flip|100.0|shuffle|fedavg|128|42,cifar10,cnn,64,1,0.0,label_flip,100.0,shuffle,fedavg,128,0.5917,0.0,1.1764859245300292,0.0,0.5894,0.0,1.196036349105835,0.0,657290,113,42
exp1_vary_width,cifar10|cnn|64|1|0.0|random_noise|100.0|shuffle|fedavg|128|42,cifar10,cnn,64,1,0.0,random_noise,100.0,shuffle,fedavg,128,0.5917,0.0,1.1764859245300292,0.0,0.5894,0.0,1.196036349105835,0.0,657290,113,42
exp1_vary_width,cifar10|cnn|64|1|0.25|label_flip|100.0|shuffle|fedavg|128|42,cifar10,cnn,64,1,0.25,label_flip,100.0,shuffle,fedavg,128,0.5742,0.0,1.2545380138397215,0.0,0.5722,0.0,1.2728762607574462,0.0,657290,118,42
exp1_vary_width,cifar10|cnn|64|1|0.25|random_noise|100.0|shuffle|fedavg|128|42,cifar10,cnn,64,1,0.25,random_noise,100.0,shuffle,fedavg,128,0.5701,0.0,1.261341858100891,0.0,0.564,0.0,1.2875442749023438,0.0,657290,104,42
